Student_ID,Arabic,Islamic,Biology,Physics,Mathematics,Chemistry,Somali,English,History,Geography
1001,74,62,64,76,66,65,92,72,62,96
1005,91,93,100,66,84,100,89,65,85,88
1012,97,66,83,74,96,90,96,76,66,71
1010,80,86,65,89,68,65,67,92,92,91
1008,68,94,89,87,97,97,91,73,88,63
1007,72,83,93,73,98,90,88,97,87,83
1018,89,67,88,90,68,69,70,63,99,98
1013,86,96,77,98,85,100,86,93,73,86
2026003,86,75,74,90,88,63,89,64,91,62
1019,93,79,64,94,93,69,77,85,94,61
1014,78,94,80,81,68,62,86,96,85,64
1003,91,85,100,78,99,94,98,76,89,100
1004,80,82,86,86,78,80,93,72,84,91
1006,90,75,69,86,69,89,83,69,77,86
1020,71,70,70,99,85,74,65,97,91,94
1002,85,67,75,67,74,65,62,76,67,87
1009,79,67,88,93,83,85,69,82,97,81
1016,96,79,66,72,65,92,89,64,66,68
1017,98,75,63,90,98,78,63,95,63,84
1011,77,68,71,92,70,74,85,86,65,90
1015,73,100,78,75,88,85,95,91,94,65
